 ars |             gen              |                                   st_extent                                    
-----+------------------------------+--------------------------------------------------------------------------------
 08  | Baden-Württemberg            | BOX(388342.9861750145 5265154.344984678,610082.0095923466 5515648.538688123)
 08  | Baden-Württemberg (Bodensee) | BOX(502286.12307404436 5265536.840941786,545271.7549969326 5296015.184434276)
 09  | Bayern                       | BOX(498276.4224956715 5235855.976757018,855893.5971301442 5601965.039168887)
 09  | Bayern (Bodensee)            | BOX(542045.6089821595 5263549.895962466,555050.580149231 5270278.409990243)
 11  | Berlin                       | BOX(777974.129280725 5808836.647482179,823510.4920870068 5845580.299996228)
 12  | Brandenburg                  | BOX(651614.2019110501 5700526.588163795,899088.0713597814 5945144.23988256)
 04  | Bremen                       | BOX(465401.4356639145 5873499.879623633,499391.54455647327 5940201.935090348)
 02  | Hamburg                      | BOX(441336.34003614483 5916923.3298082845,588056.1130481551 5986767.709888474)
 06  | Hessen                       | BOX(412135.90394206136 5471422.448462982,586383.1953010765 5723060.820608742)
 13  | Mecklenburg-Vorpommern       | BOX(606036.8163720798 5887218.478585875,860300.8228160024 6090950.845859949)
 03  | Niedersachsen                | BOX(324893.99943568034 5682911.261552877,674202.3108069189 5999978.168355949)
 05  | Nordrhein-Westfalen          | BOX(280371.05911406036 5577715.939842593,531781.4233734279 5820206.260931396)
 07  | Rheinland-Pfalz              | BOX(293326.08239960973 5424023.414322716,464352.68158637447 5644106.198210859)
 10  | Saarland                     | BOX(308753.6492934129 5441632.358827091,384061.3252625258 5500410.4174169395)
 14  | Sachsen                      | BOX(703459.5796963719 5563019.671914702,921292.3711726682 5732998.3004386565)
 15  | Sachsen-Anhalt               | BOX(607166.1739622835 5647855.42088033,789202.802262727 5880148.566692953)
 01  | Schleswig-Holstein           | BOX(403507.88210117194 5913461.959278833,673832.0000429021 6106244.005826437)
 16  | Thüringen                    | BOX(562009.25391923 5562813.999414977,756817.9803136057 5723475.436169218)
(18 rows)

