 ars |      gen      |                                    st_extent                                    
-----+---------------+---------------------------------------------------------------------------------
 059 | Arnsberg      | BOX(7.104200575316293 50.68542016861473,8.97081495620983 51.7447664751575)
 064 | Darmstadt     | BOX(7.772490637258533 49.3953967199449,9.748897227450803 50.50013547014293)
 057 | Detmold       | BOX(8.075477753161504 51.44201500807489,9.461478369130122 52.53144342795385)
 051 | Düsseldorf    | BOX(5.945029569643067 51.01508882001524,7.31357020249511 51.905222047626424)
 083 | Freiburg      | BOX(7.511871829787792 47.532360220558054,9.21783774670656 48.71858108155758)
 065 | Gießen        | BOX(7.964191681561412 50.264060828909464,9.650018740040624 50.996706815948386)
 082 | Karlsruhe     | BOX(7.959630743100802 48.30111640512202,9.603822915753083 49.66350784853561)
 066 | Kassel        | BOX(8.473368208814312 50.35614961568425,10.235998831584883 51.657499206502514)
 053 | Köln          | BOX(5.866250350714273 50.323011952583144,7.792022809416213 51.25031506992746)
 095 | Mittelfranken | BOX(10.069613723286722 48.859356619932825,11.601550345607611 49.78820025979116)
 055 | Münster       | BOX(6.386696630384137 51.4808380908705,8.320136134018112 52.47509025612126)
 092 | Niederbayern  | BOX(11.594916979839194 48.20669256707139,13.839584445443249 49.173579733585576)
 091 | Oberbayern    | BOX(10.715888479929342 47.39338623480515,13.098660589256637 49.08770130853198)
 094 | Oberfranken   | BOX(10.439911482052166 49.58732500040018,12.275353647212613 50.523239712932714)
 093 | Oberpfalz     | BOX(11.185988266934576 48.7649230039512,13.170908084856555 50.06135973456983)
 097 | Schwaben      | BOX(9.602077153499122 47.27012360470945,11.311674872234887 49.035983179234)
 081 | Stuttgart     | BOX(8.746464928350516 48.49901034637815,10.495748779340063 49.791477649801095)
 084 | Tübingen      | BOX(8.647754607123181 47.581150336932005,10.24140630149497 48.631755381416895)
 096 | Unterfranken  | BOX(8.975925858826603 49.48036425405915,10.87929543669478 50.56422474230886)
(19 rows)

